Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,MY 1,446.010000,,0.600000,DTCS,88.5,88.5,043,NN,043,Tone->Tone,FM,10.00,,5.0W,,,,,
2,MY 2,446.195000,,0.600000,DTCS,88.5,88.5,754,NN,754,Tone->Tone,FM,0.00,,5.0W,,,,,
3,PLDUPL,433.175000,split,446.081250,DTCS,100.0,100.0,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
4,MMDVM,430.100000,+,9.700000,,100.0,100.0,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
8,LPD 01,433.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
9,LPD 02,433.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
10,LPD 03,433.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
11,LPD 04,433.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
12,LPD 05,433.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
13,LPD 06,433.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
14,LPD 07,433.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
15,LPD 08,433.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
16,LPD 09,433.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
17,LPD 10,433.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
18,LPD 11,433.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
19,LPD 12,433.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
20,LPD 13,433.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
21,LPD 14,433.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
