Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CH-001,49.995910,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DIG,2.50,,50W,,,,,
2,,7.029990,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,USB,2.50,,50W,,,,,
3,,27.135000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
4,,7.030000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,CW,2.50,,50W,,,,,
5,QRP-7m,7.090000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,LSB,2.50,,50W,,,,,
6,SOS!RUS1,14.300000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
7,QRP-14m,14.285000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,USB,2.50,,50W,,,,,
8,SOS-Rus,14.347000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,LSB,2.50,,50W,,,,,
9,CW_QRP80,3.560000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,CW,2.50,,50W,,,,,
10,CW-QRP40,7.030000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,CW,2.50,,50W,,,,,
11,CW-QRP20,14.060000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,CW,2.50,,50W,,,,,
12,CW-QRP15,21.060000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,CW,2.50,,50W,,,,,
13,CW-QRP17,18.086000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,CW,2.50,,50W,,,,,
14,CH-014,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
15,,433.600000,,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,,,,,
16,+Home+,145.450000,,0.600000,DTCS,88.5,88.5,155,NN,155,Tone->Tone,FM,12.50,,50W,,,,,
17,,89.815000,,0.600000,DTCS,88.5,88.5,155,NN,155,Tone->Tone,FM,12.50,,50W,,,,,
18,RadJaz*,89.100000,,0.600000,DTCS,88.5,88.5,155,NN,155,Tone->Tone,FM,12.50,,50W,,,,,
19,Romania,0.755000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
20,,0.935910,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
21,,0.540000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
22,,0.410000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
23,DIGiTaL,7.077480,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,LSB,2.50,,50W,,,,,
25,UKRaina*,1.000000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
26,R*donej,1.035000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
27,,7.485000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
28,BecTi_*,1.415000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
30,CHINA**,7.305000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
31,,139.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
32,,125.295000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
33,,125.300200,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
34,radioVER,100.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,50.00,,50W,,,,,
35,,7.325000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
36,,7.485000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
37,,28.040000,,0.100000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
